material,description
140536,TAPIOCA PREMIUM DELIOCA 560G
140538,MP PAO QUEIJO MULTIGRAOS 2KG
140560,VIN TT CHI PINOT NOIR 120 STA RITA 750ML
140561,VIN ROSE CHI 120 STA RITA 750ML
140563,VIN TT ARG NIETO SENE RES MALBEC 750ML
140565,VIN ROS ARG NIETO SENETINER SUAVE 750ML
140567,COLETORES DE DADOS IMPORTADO
140572,BISC TRIBOS CRACKER ORIG MAE TERRA 130G
140573,BISC TRIBOS CRACKER GERG MAE TERRA 130G
140576,VIN VERDE ROSE AUGUSTA 750ML
140580,GRAO DE BICO N 12 CERES BRASIL 400G
140581,LENTILHA VERMEL S PELE CERES BRASIL 400G
140582,LENTILHA VERD S GLUTEN CERES BRASIL 400G
140588,AIPO EM TALOS N SALADS UN
140593,ALHO PORO FATIADO N SALADS UN
140630,TROCADOR DE FRAUDAS HORIZONTAL
140631,PIPOCA LEMON PEPPER MAIS PURA 50g
140632,PIPOCA ART CARAM FLOR SAL MAIS PURA 150g
140633,HAMB D COSTELA BOV CONG WESSEL 360G
140634,REQUEIJAO CREM AVIACAO 180G
140635,REQUEIJAO LIGHT AVIACAO 180G
140639,LIMAO TAHITI PCT 1KG
140640,CESTA DE VIME 24cm PEQUENA
140641,CESTA DE VIME 27cm MEDIA
140642,CESTA DE VIME 30CM GRANDE
140646,GRANITO
140654,MANT BALDE REFEITORIO 5KG
140674,COMP BOCK SEM HERM HG4 650 4S 220 380V
140675,GELEIA DO ANO QUEENSBERRY 320G
140676,SAL ROSA FINO HIMAL NETUAL LIFE 500G
140677,SAL ROSA GROSSO NATUR LIFE 500G
140682,GELEIA MORANGO QUEENSBERRY GLAM 270G
140683,GELEIA FRUTAS SILV QUEENSBERRY GLAM 270G
140684,ETQ EP MUSCULO ESPECIAL
140685,ETQ EP MEDALHAO FM SUINO
140691,CANJICA DE MILHO C SAL MARINHO OKSHI 50G
140704,LOMBO SUINO SALGADO PRIETO 400G
140710,MP DOCE DE LEITE VALE DE MINAS
140722,LAVA LOUCAS MENTA BIOWASH 650ML
140723,LAVA LOUCAS ERVA DOCE BIOWASH 650ML
140725,DESENG REFIL BIOWASH 650ML
140726,LIMPA BANHEIRO BIOWASH 650ML
140727,LIMPA BANHEIRO REFIL BIOWASH 650ML
140728,LIMPA VIDROS BIOWASH 650ML
140729,LIMPA VIDROS REFIL BIOWASH  650ML
140730,LIMPA MULT REFIL BIOWASH 650ML
140732,LAVA LOUCAS PO MAQ LAV BIOWASH 500G
140734,FONTE TENSAO BLIND 60W IP67-1
140747,ALFACE LOLLO ROSSA UN
140750,ALFACE MIMOSA ROXA UN
140754,RABANETE RAMA UN
140758,COUVE KALE ROXA ORG UN
140800,MP CAFE GRAOS ORFEU 1KG
140810,SALMAO DEFUMADO FATIADO DAMM 80G
140830,VIN CHI ROSE SANTA EMA SL TERROIR 750ML
140853,BAC CORT GOURM MOHUA KG
140854,TAPIOCA PERU QJO BCO UN
140863,OVOS BRANCO OMEGA3 C 10 UN
140864,OVOS VERMELHO CAIPIRA C 10 UN
140865,OVOS VERMELHO CAIPIRA C 6 UN
140866,OVOS VERMELHO ORG C 10 UN
140867,OVOS VERMELHO ORG C 6 UN
140868,QUEIJO COLONIAL BONQ 450G
140880,OVOS BRANCO JUMBO C 10 UN
140925,COGUMELO SHIITAKE KG
140926,COGUMELO PORTOBELLO KG
140930,BISC COOKIES CHOC MAXI BAUDUCCO 96G
140958,CHOC ITA LINDT MILK LINDOR BALLS UN
140959,CHO FR EXC CAR SE SAL DARK LINDT 100G
140970,COND SIRIO PIM SIRIA AROMA DAS ERVAS 50G
140980,PIMENTAO BLOCK VERMELHO 150G
140981,PIMENTAO BLOCK LARANJA 150G
140982,PIMENTAO BLOCK AMARELO 150G
140984,PIMENTAO BLOCK DUO 250G
140985,CHOC ORG NIBS 70% VALE DAS PALMEIRAS 80G
140992,MEL ORG VALE DAS PALMEIRAS 300G
140994,IOG NAT ORG VALE DAS PALMEIRAS 200ML
140995,IOG ORG C MEL VALE DAS PALMEIRAS 200ML
140996,IOG D MORAN ORG VALE DAS PALMEIRAS 200ML
140999,RICOTA FRE ORG VALE DAS PALMEIRAS 200G
141000,LEITE INT UHT ZERO LACT LEITISSIMO 1L
141003,SACO PAPEL BAGUETE C VISOR 62 X 9
141004,SACO PAPEL CROASSA C VISOR 30 X 15
141031,COGUMELO CHAMPIGNON DE PARIS FAT 200G UN
141034,COGUMELO SHIITAKE FAT KG
141035,COGUMELO SHIMEJI PRETO KG
141044,SOBRECOXA D FRANGO BIO BANDEJA SADIA 1KG
141045,FILE DE PEITO DE FGO BIO IQF SADIA 1KG
141064,QJO MINAS FRES ORG VALE DAS PALMEIRAS KG
141065,QJO MINAS PADR ORG VALE DAS PALMEIRAS KG
141071,CHOC MIX DIAMANTE NEGRO LAKA LACTA 90G
141072,CHOC EM BARRA LAKA OREO LACTA 90G
141073,CHOC EM BARRA AO LEITE LACTA 90G
141074,CHOC EM BARRA DIAMANTE NEGRO LACTA 90G
141075,CHOC EM BARRA LAKA LACTA 90G
141080,MID PLACA DISPLAY EVAP PT 18 A 60KG
141081,ABACAXI PEROLA DOCE MEL
141083,DISPLAY PROSIGA
141095,KIWI GOLD 460G
141120,RD-460PPET/I ESTOJO 460 PROFUNDO
141140,MIX CENOURA COLORIDA ORG 400G UN
141150,CABO UTP CAT 5E SOHOPLUS
141151,HD 3 TB
141152,FONTE DE ALIMENTACAO12V 2A
141153,CAIXA DE PROTECAO PARA CAMARA
141154,BALUN ATIVO INTELBRAS
141155,DVR INTELBRAS HD 16 CANAIS HDCVI
141156,CAMERA INTELBRAS LENTE 2,8mmHDCVI 720P
141172,MILHO SWEET PRE COZIDO 400GRS UND
141177,QUINOA PRE COZIDA PCT 400G
141180,LARANJA LIMA PCT 1KG UND
141181,MELAO MELUNA KG
141182,CAIXA DE SOM PRETA - JBL CHARGE
141183,PORCELANATO TEC IND TECNOVILA 25x25 GAIL
141184,REJUNTE VILLACOL INDUS ALUMINOSO SC 5KG
141212,IOG LIQ SEM LACT MOR CORPUS DANONE 170G
141214,IOG LIQ MORANGO CORPUS DANONE 850G
141219,IOG SHOT FRAMB HIB ACTIVIA DANONE 100G
141220,IOG SHOT TRADICIONAL ACTIVIA DANONE 100G
141224,QUINOA REAL VER FLOC ORG VITALIN 120G
141226,SWEET PALERMO ORG 300G UN
141227,PIMENTAO BLOCK ORG UN
141228,BEBIDA DE AMENDOAS ADES 1L
141229,BEBIDA DE COCO ADES 1L
141230,ARROZ VERMELHO GRAN SANTE 500G
141231,LARANJA PERA PCT 3KG UND
141237,ABACAXI HAWAI UND
141250,AGUA DE COCO NATURAL 300ML UN
141251,AGUA DE COCO NATURAL 1LT UN
141254,OVOS VERMELHO SELENIO ORG C 10 UN
141255,OVOS VERMELHO OMEGA3 ORG C 10 UN
141290,SACO CESTA BASICA ROLL 92x117x0,035
141301,MOLHO PARA SALADA ITALIANO KENKO 236ML
141302,MOLHO PARA SALADA ROSE KENKO 236ML
141303,MOLHO PARA SALADA CAESAR KENKO 236ML
141304,MOLHO ERVAS FINAS KENKO 236ML
141305,MOLHO PARA SALADA IOGURTE KENKO 236ML
141306,MOLHO PARA SALADA LIMAO KENKO 236ML
141307,MOLHO SALADA PARMESAO KENKO 236ML
141308,TORR ART SABOR FOCACCIA TORONTO 90G
141321,MAQUINA QOOL PRETA 220V DELTA Q
141332,MASS ITA FUSILLI S G PAGANINI 400G
141333,MASS ITA SPAGUETT S GLUT PAGANINI 400G
141334,UVA VERMELHA SEM SEMENTE 500G UND
141336,UVA VERDE SEM SEMENTE 500G
141337,UVA ISIS BANDEJA 500G
141338,LARANJA LIMA PCT 1,5KG UND
141339,UVA MISTA SEM SEMENTE 500G
141345,PIZZA MINI ZER GLUT LACT GOOD BREAD 110G
141348,ACUCAR MASCAVO WS 500G
141350,CHOC EM BARRA AO LEITE HERSHEYS 92G
141351,CHOC EM BARRA MEIO AMARGO HERSHEYS 92G
141357,MAQ TRES S20 VERSA PRETA 127V
141380,GOIABA BRANCA CROCANTE KG
141413,ADES VITAMINA DE COCO 1LT
141447,MASTERCOIN SDM100 DEPINTELIG CEDULAS
141449,BASE PROLON DE 15 cm 6 mm ESPESSURA ACO
141473,CERV LN BUDWEISER 330ML
141477,FRANGO A PASSARINHO CONG SADIA 1KG
141501,PANETT TRADICONAL OFNER 500G
141504,PANETT TRUFADO OFNER 1KG
141505,PANETT C GOTAS D CHO ZERO ACU OFNER 500G
141520,FILTRO SEC DANFOSS DML 166 350 X 3 4 ROS
141521,SUPORTE EVAP PISO TETO 55cm T FIX SPLIT
141562,LIMPADOR CREM LIMP PROF CIF 450ML
141564,COGUMELO CHAMPIGNON DE PARIS ORG 250G UN
141572,ICE TEA PESSEGO ZERO FUZE LEAO 300ML
141573,ICE TEA PESSEGO FUZE LEAO 300ML
141577,ICE TEA PESSEGO FUZE LEAO 1,5L
141578,ICE TEA LIMAO FUZE LEAO 1,5L
141590,CHOCOTT MAXI BAUDUCCO 550G
141591,CHOCOTT SNICKERS BAUDUCCO 500G
141592,CHOCOTT PROMOCIONAL BAUDUCCO 750G
141593,CHOCOTT BAUDUCCO 908G
141594,PANETT PROMOCIONAL BAUDUCCO 750G
141595,PAO DE MEL NATAL BAUDUCCO 150G
141620,BEBIDA DE AMENDOA A TAL DA CASTANHA 1L
141621,MP GRANOLA SALGADA KG
141622,DOCE DE LARANJA EM CALDA VIDRO 650G
141624,DOCE DE FIGO EM CALDA VIDRO 650G
141635,PAO DE FORMA MULTIGRAOS DR SCHAR 200G
141636,PAO DE FORMA BCO S GLUTEN DR SCHAR 200G
141654,OVINHOS DE AMENDOINS AGTAL 150G
141661,BOLO CHO 100% CA ZERO GOOD BREAD 320G
141663,WAFFLE ZERO GLUTEN LACT GOOD BREAD 120G
141671,VIN AFRI NEDERBUR CABERN SAUVIGNON 750ML
141672,VIN AFRI NEDERBURG SHIRAZ 750ML
141682,VIN ITAL TINTO LORETTO ROSSO 750ML
141685,VIN ITA BRANCO LORETTO 750ML
141695,QUINDIM DEMERARA NA LATA DANGELO 100G
141696,BAND B2 DRY STAR PTA FUN
141697,ALIM C AMENDOA ORIG ALMOND BREEZE 1L
141698,ALIM C AMENDOA CHOC ALMOND BREEZE 1L
141699,ALIM C AMENDOA BAUN ALMOND BREEZE 1L
141700,PALM ORG INTEIRO ROYAL PALMS 300G
141701,LASCA COCO ASSADO COM ACUCAR MASCAVO KG
141703,PALM ORG POTINHO ROYAL PALMS 180G
141710,FEIJAO FAVA TORRADA MOST E MEL KG
141711,MIX CRISP MOSTARDA E MEL KG
141712,AVEIA FLOCOS GROSSOS ORGAN NESTLE 170G
141713,AVEIA FARELO ORGANICA NESTLE 170G
141720,GOLDEN MILK POTE BR SPICE 100G
141730,ACUCAR MASCAVO ORGANICO MONTAN 500G
141732,MP ATUM EM PEDACOS COM OLEO COMESTIVEL
141733,TABU FRI COPA S E PRES CRU CERATTI 150G
141741,POPCORN MICRO NATURAL SAL 90G
141751,AZEITE EXTRA VIRGEM FONTOLIVA 500ML
141761,CAFE SUPREME TM CIA ORGANICA 250G
141762,CAFE BIODIN DEMETER TM CIA ORGANICA 250G
141763,CAFE SUP EXP GRAOS TM CIA ORGANICA 250G
141764,CAFE CAPSULA ORGANICA CIA ORGANICA 50G
141765,CAFE CAPSULA BIODIN CIA ORGANICA 50G
141780,BOLO DE FUBA ZERO FINART 250G
141781,BOLO AMANT LARANJA ZERO FINARTE 250G
141803,MACARR SPAGHETTINI ITA DE CECCO 500G
141804,MACARR FUSILLI ITA DE CECCO 500G
141805,MACARR FARFALE ITA DE CECCO 500G
141806,MACARR TAGLIA NIDI DI SEM DE CECCO 500G
141825,DOCE FIGO EM CALDA DIET HOUSE 250G
141826,DOCE ABOB EM CALDA DIET HOUSE 250G
141827,DOCE BANANADA DIET HOUSE 250G
141828,DOCE GOIABA EM CALDA DIET HOUSE 250G
141850,REFRIG SAB CAFE ESP PLUS COCA COLA 220ML
141851,VIN TIN DEMI SEC CAB SAUV MACAW 750ML
141852,VIN TIN DEMI SEC MERLOT MACAW 750ML
141853,VIN TIN DEMI SEC TANNAT MACAW 750ML
141854,VIN BRA DEMI SEC MOSCATO MACAW 750ML
141855,VIN ROSE FRISANTE TROP MACAW 750ML
141856,ESPUM BRUT CHARMAT CASA PERINI 750M
141857,ESPUM BRUT ROSE CASA PERINI 750ML
141858,ESPUM MOSCATEL CASA PERINI 750ML
141860,CACHACA OURO YPIOCA 965ML
141880,FARINHA AMENDOA KG
141891,VIN TT ARG TORO CENTENA CAB SAUV 750ML
141892,VIN BC ARG TORO CENTENA CHARDONAY 750ML
141893,VIN TT ARG TORO CENTENARIO MALBEC 750ML
141894,PAO DE QJ 3 QUEIJOS MARICOTA 300G
141895,PAO DE QJ GRANA PADANO MARICOTA 300G
141896,MINI CHIPA KIDS MARICOTA 300G
141900,MEL CREMOSO ORG VALE DAS PALMEIRAS 300G
141911,BISC TIPO ROSQ S GLUT E LACT HOOPS 200G
141914,BISCOITO DE COCO 120G
141915,BISCOITO CASADINHO 120G
141917,BISCOITO DE CANELA 120G
141918,ADOCANTE FINESWEET SEM SODIO AIRON 75ML
141919,ADOCANTE FINESWEET NATURAL AIRON 60ML
141920,MIX DE QUINOA ORGANICA VAPZA 250G
141921,CARNE SUINA DESFIADA VAPZA 400G
141922,SOJA ORGANICA VAPZA 250G
141923,SETE GRAOS ORGANICO VAPZA 250G
141924,PEITO DE FRANGO ORGANICO VAPZA 250G
141930,BARRA ZERO ACU AMEIXA E COCO & JOY 50G
141931,BARRA ZE ACU AVE E NIBS DE CAC JOY 50G
141932,BARRA ZE ACU BANAN DAM E NOZES JOY 50G
141941,SNACK COCO SEMENTE ABOBORA & JOY 80G
141944,SNACK LIOFILIZADO BATATA DOCE & JOY 15G
141946,MIX NUTS ORIGINAL AGTAL 390G
141947,AVELA SEM CASCA REBELA 200G
141948,NOZES SEM CASCA REBELA 150G
141949,PISTACHE TORRADO E SALGADO REBELA 150G
141950,UVA PASSA ESCURA REBELA 200G
141951,CASTANHA DO PARA SEM CASCA REBELA 150G
141952,CASTANHA CAJU TORR SALGADA REBELA 150G
141953,CASTANHA DE CAJU XEREM REBELA 200G
141954,AMENDOA TORRADA E SALGADA REBELA 200G
141955,UVA PASSA CLARA REBELA 200G
141956,AMENDOA CRUA SEM CASCA REBELA 200G
141957,AMEIXA SEM CAROCO REBELA 200G
141959,PANETT OFNER 2KG
141960,CREME DE QJ TIPO ARABE LIGHT ALIBEY 180G
141961,CREME DE QUEIJO TIPO ARABE ALIBEY 180G
141965,SPAGHETTI ORG N 3 BROWN ALCE NERO 500G
141966,PENNE ORG BROWN ALCE NERO 500G
141967,FUSILLI ORG BROWN ALCE NERO 500G
141968,SPAGHETTI ORG N 3 WHITE ALCE NERO 500G
141969,PENNE ORG WHITE ALCE NERO 500G
141970,FUSILLI ORG WHITE ALCE NERO 500G
141971,FARFALLE ORG WHITE ALCE NERO 500G
141972,TAGLIATELLE ORG WHITE ALCE NERO 250G
141973,PASSATA DE TOMATE ORG ALCE NERO 500G
141974,POLPA DE TOMATE ORG ALCE NERO 500G
141975,MOLHO TOM ORG WHIT BASIL ALCE NERO 350G
141976,MOLHO TOM ORG NAPOLETANA ALCE NERO 350G
141977,MOLHO TOM ORG ARRABBIATA ALCE NERO 350G
141990,MAQ DE GELO ESCAMA GRAN ITV
141991,SILO EM ACO INOX PARA 250KG
141992,TRANSFORMADOR AUTO TRIF 380 220V
142000,DOCE DE LEITE ZERO LACTOSE 250G
142007,BISC ORG CACAU ZOORETA MAE TERRA 110G
142013,MEL ORGANICO KORIN 300G
142036,TOMATE MINI ITALIANO 300G
142037,LOMBO BACALHAU MORHUA BOM PORTO 2kg
142060,SORVETE NAPOLITANO ZERO LACT KIBON 800ML
142064,SORV CREMOSISSIMO CHOCOLEITE KIBON 2L
142088,REQUEIJAO LIGHT POCOS DE CALDAS 200G
142089,REQUEIJAO TRAD POCOS DE CALDAS 200G
142100,BANANA MACA PRINCESA ORG KG
142110,QUICHE DE ALHO PORO COM CATUPIRY 440G
142111,EMPANADA DE CARNE COM CATUPIRY 440G
142112,SUCO MACA LARANJA BETERRABA SUVALAN 1L
142113,SUCO MACA ESPI COUVE HORTELA SUVALAN 1L
142115,SAB PROT DO LEITE NIVEA 85G
142116,QJO TIPO GRANA LASCAS RAR 150G
142117,BACALHAU SALGADO GADUS MORHUA KG
142128,MINI RABANETE BDJ UND
142129,NABO BDJ UND
142132,LEITE UHT INTEGRAL PET PARMALAT 1L
142133,LEITE UHT SEMIDESNATADO PET PARMALAT 1L
142134,LEITE UHT DESNATADO PET PARMALAT 1L
142140,BANANADA ZERO ACUCAR BOM DOCE 250G
142141,COCADA BRANCA BOM DOCE 250G
142142,DOCE DE ABOBORA COM COCO BOM DOCE 250G
142143,FONDANT COM AMEIXA BOM DOCE 250G
142145,QUEBRA QUEIXO COM DAMASCO BOM DOCE 250G
142148,IOG INTEGRAL SEM ACUC KEIFIR 500G
142149,IOG INTEGRAL ADOC KEIFIR 500G
142161,SAMANTA COLONIAL MINNAS 90G
142163,POLVILHO PARMESAO MINNAS 90G
142171,VIN ESP BCO I HEART SAU BLANC 750ML
142173,ESPUM FRA LA ROCHE ROSE 750ML
142174,KIWI VERDE 460G
142175,UVA SWEET JUBILLEE 500G
142191,MATTE NATURAL LEAO 300ML
142193,MATTE LIMAO LEAO 300ML
142194,MATTE LIMAO ZERO LEAO 300ML
142202,IOG YOPRO MORANGO DANONE 160G
142203,IOG YOPRO COCO CREMOSO DANONE 160G
142204,IOG YOPRO BAN C PAS DE AMEND DANONE 160G
142210,CHOC BRANCO MILKA 100G
142221,AZEITE EXTRAVIRGEM ALCE NERO 500ML
142222,AZEITE EXTRAVIRGEM ALCE NERO 250ML
142223,MELANCIA PINGO DOCE kg
142281,FILE DE TILAPIA FRESCO FIDER ATM 500G
142282,FILE DE TILAPIA CONGELADO SEM PELE 800G
142310,BALANCA C ELEITOR BIOTICO MAGELLA
142333,BAR MI PO ZE ACU BAN DAM NOZ & JOY 70G
142350,BARRA DOCE DE LEITE CRUNCH EXCEED 30G
142351,BARRA CHOCO PEANUT CRUNCH EXCEED 30G
142355,TAPIPOCA CASTANHA DO PARA UNIVERSO 100G
142359,MASS GOUR FUSILLI CENOURA CASARAO 300G
142360,MASSA GOUR TALHARIM ESPINAF CASARAO 300G
142361,MASS GOUR FUSILLI BETERR CASARAO 300G
142362,MASSA GOUR TALHARIM BETERR CASARAO 300G
142363,MASS GOUR FUSILLI ESPINAF CASARAO 300G
142370,MAT FESTAS E EVENTOS IMPORTADO
142380,CERVEJEIRA VERTCAL 230
142391,LIMONADA COM ACUCAR ORGANICO ESTILO 1L
142392,AGUA MINERAL SPORT CAP ESTILO 750ML
142394,EXAUSTOR ARVE 50cm
142399,TOMATE SNACKTOM KANO 200G
142404,SALEIRO
142405,BOLO AVE CH LARA INT S GLU VITALIN 300G
142406,BOLO AVE AMA CAC INT S GLU VITALIN 300G
142410,LAMINA RALAR 2mm CL 50 60
142444,BOLSA CANON BAG300DG
142445,CARTAO SD 64GB SDSDUNB64
142446,CAMERA CANON DIG PROF REBEL SL2 18 55
142447,VIDRO CURVO VENEZUELA C RES PRIME
142483,TOMATE CEREJA ORG KG
142485,FARINHA MANDIOCA BRANCA ORG KORIN 500G
142486,FARINHA MANDIOCA TORRADA ORG KORIN 500G
142487,FARINHA DE MILHO ORG KORIN 500G
142488,CANJICA AMARELA ORG KORIN 500G
142489,GRAO DE BICO ORG KORIN 500G
142491,CHA PRETO UVAS E MORANGO SINERGIA 750ML
142493,SUCO DE UVA TINTO INTEG GERACAO S 500ML
142494,BANANINHA ZERO NATUECX 35G
142495,BANANINHA CRISTALIZADA NATUECX 175G
142496,BANANINHA ZERO NATUECX 175G
142497,GOIABADA CASCAO NATUECX 175G
142500,MEL LARANJEIRAS SO MEL 280G
142510,ALHO PICADO GARLIC 1KG
142511,ALHO FLOCOS GARLIC 60G
142512,CEBOLA TOSTADA GARLIC 40G
142530,VINAGRE DE MACA ORG SAO ROQUE 500ML
142531,GERGELIM PRETO MONTAN 200G
142543,QJO ROQUEFORT PAYSAN BRETON 100G
142547,LOMBO DEFUMADO FAT FIGUEIRAS 80G
142550,CORRENTE 9300G COMF 60HZ 63 DENT C3 5102
142560,TERMINAL INTEGRADO APOS A8 OBR
142570,LIMPADOR CLORO ADITIV ORIGINAL VIM 700ML
142581,PANQUEQUEIRA
142582,BROWN CHO FUDGE C ACU COC GOOD BREAD 30G
142592,PHYSALES 100G
142602,SUCO D LARANJA CAMPO LARGO 200ML
142603,SUCO D MACA CAMPO LARGO 200ML
142605,SUCO D UVA CAMPO LARGO 200ML
142630,TABLET 3G PRO
142641,PAO DE ALHO BOLINHA SO MINAS 300G
142642,PAO DE ALHO TRAD SO MINAS 300G
142650,CHOCOLATE 67 MARACUYAYA ORGA AMMA 80G
142661,SM1853CAM COMPRESSOR DANFOSS SCROLL
142672,MANGA ROSA ORG KG
142673,MINI BERINJELA ORG KG
142674,MINI PIMENTAO DOCE ORG KG
142675,PEPINO SNACK VERDE ORG KG
142676,PIMENTA BIQUINHO ORG KG
142678,PIMENTA JALAPENO ORG KG
142679,PIMENTAO BLOCK ORG KG
142680,QUIABO ORG KG
142681,SWEET PALERMO ORG KG
142682,TOMATE GOLDEN GRAPE ORG KG
142683,TOMATE MINI ITALIANO ORG KG
142684,TOMATE TIGRE ORG KG
142695,IOG LIQ SOL MORANGO NINHO 170G
142696,ARROZ 7 GRAOS INT TIO JOAO 500G
142700,CERV ORANGE SUNSHINE 500ML
142754,MACBOOK PRO 13 POLEGADAS CORE I5
142760,PRESSOSTATO DANFOSS BAIXA RM 1103
142761,GRAO DE BICO SUAVE BONDUELLE 200G
142766,MAT IMPRESSO E MAT EXPEDIENTE IMPORTADO
142767,CERV BELGIAN TRIPEL ANTUERPIA 500ML
142768,CERV PILSEN ANTUERPIA 500ML
142769,CERV IRISH RED ALE ANTUERPIA 500ML
142781,MAXIXE EMBALADO 500 GR
142790,ESTOJO MEDIO ANTI-FOG
142791,ESTOJO GRANDE ANTI-FOG
142796,EVAPORADOR IMPORTADO
142800,BEB LAC YOPRO COC BAT DOCE DANONE 250ML
142801,BEB LACTEA YOPRO BANANA DANONE 250ML
142802,BEB LAC YOPRO CHOC 15G DANONE 250ML
142808,MP PALMITO PICADO 3 KG
142831,SACOLA REUTILIZAVEL HF NT PITAYA
142833,GEL DESMOL BRI NEU BAKELS 4KG
142873,FARINHA DE ARROZ TIO JOAO 1KG
142897,MACA GALA ORG 400G UN
142901,TOMATE SNACKTOM ORG 180G UN
142903,TOMATE MINI SORTIDOS ORG KG
142904,ETQ ROT NT CARNE MOIDA
142905,ETQ ROT NT PEITO BOVINO
142906,ETQ ROT CHUR PANTANEIRO
142907,ETQ ROT NT CUBOS P COZ
142908,ETQ ROT NT BIFE AMERICANO
142909,ETQ ROT NT LOMBINHO ACEM
142910,ETQ ROT NT A CAMPESTRE
142911,ETQ ROT NT PEIXINHO
142912,ETQ ROT NT CONTRA FILE
142913,ETQ ROT COSTELA BOVINA
142914,ETQ ROT NT F MIGNON
142915,ETQ ROT NT ALC C MAMINHA
142916,ETQ ROT NT BIFE ANCHO
142917,ETQ ROT NT CHA DE DENTRO
142918,ETQ ROT NT FRALDINHA
142919,ETQ ROT NT MUSC PRIMEIRA
142920,ETQ ROT NT PICANHA
142921,ETQ ROT NT HAMBURGUER
142922,ETQ ROT NT LAGARTO PLANO
142923,ETQ ROT NT LAGARTO REDOND
142924,ETQ ROT NT MIOLO PALETA
142930,ETQ ROT NT PATINHO
142931,ETQ ROT NT ASSADO AMERICANO
142940,FEIJAO PRETO ORGANICO KORIN 500G
142957,DISCO ISOPOR 25cm
142965,BAT TRUFA C SAL MAR TYRRELL 150G
142971,FULL SX TOP
143001,DOCE LEITE TRADICIONAL LATA ITAMBE 395G
143014,FARINHA TRIGO INTEGRAL REGINA 1KG
143015,FARINHA TRIGO GOURMET REGINA 1KG
143018,ABACAXI GOLD DOCE MEL
143019,CERV PURO MALTE SULAMERICANA 600ML
143020,MASSA SPAGH RISTO N8 DIVELLA 500G
143025,MASSA PENNE ZI RIGA N27 DIVELLA 500G
143026,MASSA FUSILLI N40 DIVELLA 500G
143027,MASSA FARFALLE N85 DIVELLA 500G
143070,FARINHA MANDIOCA AMARELA KIACA 1KG
143078,MASSA PIZZA F25 TRAD AGROSABOR 100G
143079,MASSA PIZZA F25 INT AGROSABOR 120G
143108,MP CREME DE LEITE 10KG
143109,VIN TT CHI CLASSIC CAB SAUV ST EMA 750ML
143110,VIN TT CHI GRAN RES PI NOIR ST EMA 750ML
143111,VIN BC CHI CLASSIC SAUV BLA ST EMA 750ML
143112,MAQ QLIP AMAR DELTA Q 127V
143113,MAQ QLIP AMAR DELTA Q 220V
143114,MAQ QLIP VERM DELTA Q 127V
143115,MAQ QLIP VERM DELTA Q 220V
143116,MAQ QLIP CINZ CHUMB DELTA Q 127V
143117,MAQ QLIP CINZ CHUMB DELTA Q 220V
143118,JAQUETA TAC VER MOTORISTA MOLETON NT PP
143119,JAQUETA TAC VERD MOTORISTA MOLETON NT P
143121,LASCA DE COCO ASSADA COM CACAU KG
143130,JAQUETA TAC VERD MOTORISTA MOLETON NT M
143131,JAQUETA TAC VERD MOTORISTA MOLETON NT G
143132,JAQUETA TAC VER MOTORISTA MOLETON NT EG
143133,JAQUETA TAC VER MOTORISTA MOLETON NT EP
143134,CAMISA GOLA CARECA VERDE NT PP
143135,CAMISA GOLA CARECA VERDE NT P
143136,CAMISA GOLA CARECA VERDE NT M
143137,CAMISA GOLA CARECA VERDE NT G
143138,CAMISA GOLA CARECA VERDE NT EG
143139,CAMISA GOLA CARECA VERDE NT EP
143140,CAMISA GOLA POLO VERDE MOTORISTA NT PP
143141,CAMISA GOLA POLO VERDE MOTORISTA NT P
143142,CAMISA GOLA POLO VERDE MOTORISTA NT M
143143,CAMISA GOLA POLO VERDE MOTORISTA NT G
143144,CAMISA GOLA POLO VERDE MOTORISTA NT EG
143145,CAMISA GOLA POLO VERDE MOTORISTA NT EP
143146,CAMISA BRIM GRAFITE MEC LAV BORR NT PP
143147,CAMISA BRIM GRAFITE MEC LAV BORR NT P
143148,CAMISA BRIM GRAFITE MEC LAV BORR NT M
143149,CAMISA BRIM GRAFITE MEC LAV BORR NT G
143150,CAMISA BRIM GRAFITE MEC LAV BORR NT EG
143151,CAMISA BRIM GRAFITE MEC LAV BORR NT EP
143152,CAMISA BRIM GRAFITE MANUTENCAO NT PP
143153,CAMISA BRIM GRAFITE MANUTENCAO NT P
143154,CAMISA BRIM GRAFITE MANUTENCAO NT M
143155,CAMISA BRIM GRAFITE MANUTENCAO NT G
143156,CAMISA BRIM GRAFITE MANUTENCAO NT EG
143157,CAMISA BRIM GRAFITE MANUTENCAO NT EP
143158,CAMISA DE BRIM VERDE NT PP
143159,CAMISA DE BRIM VERDE NT P
143160,CAMISA DE BRIM VERDE NT M
143161,CAMISA DE BRIM VERDE NT G
143162,CAMISA DE BRIM VERDE NT EG
143163,CAMISA DE BRIM VERDE NT EP
143164,CAMISA DE BRIM VERDE NT XG
143165,BATA GOLA CARECA VERDE NT PP
143166,BATA GOLA CARECA VERDE NT P
143167,BATA GOLA CARECA VERDE NT M
143168,BATA GOLA CARECA VERDE NT G
143169,BATA GOLA CARECA VERDE NT EG
143170,BATA GOLA CARECA VERDE NT EP
143171,JAQUETA TACTEL AREIA FORRO MOLETON NT PP
143172,JAQUETA TACTEL AREIA FORRO MOLETON NT P
143173,JAQUETA TACTEL AREIA FORRO MOLETON NT M
