material,description
102175,ETIQUETA TERMICA 40X55
102176,SACOLA 45X65 KG
102177,EMBALAGEM DE CAQUI TAM M
102178,BANDEJA B4 BRANCA RASA
102180,LUVA ANTICORTE 2 FIOS G
102181,VASSOURA GARI
102182,GARFO PARA SOBREMESA
102183,COLHER SOBREMESA
102185,DESCAS BOLEAD FRUT LEGU
102186,PLASTICO BOLHA 1,30X100 MULT
102188,SACOLE 6X24
102194,CAIXA PLASTICA
102207,BANDEJA PROMOTORA
102208,BOLSA DE LONA
102209,BOLSA TERMICA EXPRESS 23LT
102210,BOLSA TERMICA EXPRESS 11LT
102212,ESCOVA DE ACO
102213,PLACA OFERTA A5
102215,PLACA SINALIZADORA PISO MOLHADO
102216,LUVA FORRADA EXTRA GDE
102217,LUVA PARA LIMPEZA AMARELA P
102218,LUVA LATEX PROCEDIMENTO C PO CX100UND M
102219,LUVA LATEX PROCEDIMENTO C PO CX100UND G
102220,COPO 300ML PPT 330
102222,BOMBONIERE
102223,CAIXA PARA LIXO
102224,FACA CABO BRANCO 6
102225,PEDRA PARA AMOLAR
102226,TAMPA PARA COMPOTEIRA
102228,PORTA COPOS 200ML  INOX
102229,PASTA DE AIPO COM ALHO KG
102231,PASTA DE BRIE COM DAMASCO KG
102232,PASTA DE PEITO DE PERU KG
102237,PERNIL ASSADO KG
102242,PASTA DE AZEITONAS PRETAS KG
102243,PASTA DE ERVAS FINAS KG
102245,PORTA COPOS 300ML  INOX
102246,TACA PIT 60ML
102248,RODO DE ALUMINIO  40 cm
102249,MOLDURA A5 BRANCA 148X210 mm
102250,MOLDURA A5 VERMELHA
102251,ADAPTADOR PLASTICO PRETO
102252,TUBO TELESCOPICO 30 30 PRETO
102253,CAIXA PLASTICA MEIA BRANCA
102254,BASE METALICA ACO INOXIDAVEL
